episode,step,reward,cum_reward,intercepted,unc
0,1,-0.1,-0.1,False,0.27010235350001677
0,2,-0.1,-0.2,False,0.28879160751220745
0,3,-0.1,-0.30000000000000004,False,0.2727793774272357
1,1,-0.1,-0.1,False,0.27568632720427666
1,2,-0.1,-0.2,False,0.0
1,3,-0.1,-0.30000000000000004,False,0.28962336751158024
2,1,5.0,5.0,False,0.26260823034441017
2,2,-0.1,4.9,False,0.0
2,3,-0.1,4.8,False,0.28477555791521547
3,1,-0.1,-0.1,False,0.2588357859802495
3,2,-0.1,-0.2,False,0.2931791400033674
3,3,-0.1,-0.30000000000000004,False,0.26807015909818055
4,1,-0.1,-0.1,False,0.2950417688972993
4,2,-0.1,-0.2,False,0.28134090399690337
4,3,-0.1,-0.30000000000000004,False,0.28039127119428486
5,1,-0.1,-0.1,False,0.2542756913758526
5,2,-0.1,-0.2,False,0.29742908890180475
5,3,-0.1,-0.30000000000000004,False,0.2960759328239685
6,1,-0.1,-0.1,False,0.27363424136465786
6,2,-0.1,-0.2,False,0.26669976329948175
6,3,-3.0,-3.2,False,0.2768076000203732
7,1,-0.1,-0.1,False,0.24916112020309655
7,2,-0.1,-0.2,False,0.47803127435276527
7,3,-0.1,-0.30000000000000004,False,0.26894657716845183
8,1,-0.1,-0.1,False,0.2681726060756431
8,2,-0.1,-0.2,False,0.29551600012877033
8,3,-0.1,-0.30000000000000004,False,0.2776238133548856
9,1,-0.1,-0.1,False,0.25587671105578313
9,2,-0.1,-0.2,False,0.27122995110302317
9,3,-0.1,-0.30000000000000004,False,0.274498256900612
10,1,-0.1,-0.1,False,0.2591337841468644
10,2,-0.1,-0.2,False,0.27870718642640724
10,3,-0.1,-0.30000000000000004,False,0.2602912325461406
11,1,-0.1,-0.1,False,0.26687282588607997
11,2,-0.1,-0.2,False,0.27792317761208984
11,3,-0.1,-0.30000000000000004,False,0.2940901722992706
12,1,-0.1,-0.1,False,0.2801974111673331
12,2,-0.1,-0.2,False,0.2772788239094275
12,3,-0.1,-0.30000000000000004,False,0.0
13,1,-0.1,-0.1,False,0.28873785561064813
13,2,-0.1,-0.2,False,0.2741900046334589
13,3,-0.1,-0.30000000000000004,False,0.2699491946039566
14,1,-0.1,-0.1,False,0.25308658825061325
14,2,-3.0,-3.1,False,0.277141265670674
14,3,-0.1,-3.2,False,0.0
15,1,-0.1,-0.1,False,0.25561540368324276
15,2,-0.1,-0.2,False,0.29424601174195386
16,1,-0.1,-0.1,False,0.2617997402419052
16,2,-0.1,-0.2,False,0.2502982772647464
16,3,-0.1,-0.30000000000000004,False,0.29513470182076285
17,1,-0.1,-0.1,False,0.2823976984532012
17,2,-0.1,-0.2,False,0.2669732473318125
17,3,-0.1,-0.30000000000000004,False,0.29838943624192515
18,1,-0.1,-0.1,False,0.26687770204426897
18,2,-0.1,-0.2,False,0.0
18,3,-0.1,-0.30000000000000004,False,0.27019658103121036
19,1,-0.1,-0.1,False,0.2718292164306808
19,2,-0.1,-0.2,False,0.27057937731959003
19,3,-0.1,-0.30000000000000004,False,0.2967234356748252
20,1,-0.1,-0.1,False,0.2605959543733233
20,2,-0.1,-0.2,False,0.0
20,3,-0.1,-0.30000000000000004,False,0.2732487055198456
21,1,-0.1,-0.1,False,0.29252805653690817
21,2,-0.1,-0.2,False,0.2773507299495368
21,3,-0.1,-0.30000000000000004,False,0.0
22,1,-0.1,-0.1,False,0.2735883095461398
22,2,-0.1,-0.2,False,0.2964864760851619
22,3,-0.1,-0.30000000000000004,False,0.27612983944053837
23,1,-0.1,-0.1,False,0.2617782242732778
23,2,-0.1,-0.2,False,0.2796460043522526
23,3,-0.1,-0.30000000000000004,False,0.4910368967919445
24,1,-0.1,-0.1,False,0.2672281850626683
24,2,-0.1,-0.2,False,0.2885839420877341
24,3,-0.1,-0.30000000000000004,False,0.0
25,1,-3.0,-3.0,False,0.2714639546691231
25,2,-0.1,-3.1,False,0.0
25,3,-0.1,-3.2,False,0.27929192402462066
26,1,-0.1,-0.1,False,0.27362646161742843
26,2,-0.1,-0.2,False,0.254350090087027
26,3,-0.1,-0.30000000000000004,False,0.29206581837983137
27,1,-0.1,-0.1,False,0.26152114697346884
27,2,-0.1,-0.2,False,0.2895772415570408
27,3,-0.1,-0.30000000000000004,False,0.28035223121990516
28,1,-0.1,-0.1,False,0.2638492057051637
28,2,-0.1,-0.2,False,0.2663787954144896
28,3,-0.1,-0.30000000000000004,False,0.25392485948040133
29,1,-0.1,-0.1,False,0.2763033813505026
29,2,-0.1,-0.2,False,0.0
29,3,-0.1,-0.30000000000000004,False,0.26127110582836555
