episode,step,reward,cum_reward,intercepted,unc
0,1,-0.1,-0.1,False,0.271661268149312
0,2,-0.1,-0.2,False,0.28221467759521257
0,3,-0.1,-0.30000000000000004,False,0.5349358432607465
0,4,-0.1,-0.4,False,0.37500276663575627
0,5,-0.1,-0.5,False,0.0
0,6,-0.1,-0.6000000000000001,False,0.26406586558233835
0,7,-0.1,-0.7000000000000001,False,0.0
0,8,-0.1,-0.8,False,0.25499315206797313
0,9,-0.1,-0.9,False,0.29495218206394314
0,10,-0.1,-1.0,False,0.5380272060179553
0,11,-0.1,-1.1,False,0.0
0,12,-0.1,-1.2000000000000002,False,0.2790961204435598
0,13,-0.1,-1.3,False,0.0
0,14,-0.1,-1.4000000000000001,False,0.0
0,15,5.0,3.6,False,0.28059427554032546
1,1,-0.1,-0.1,False,0.2676845389480256
1,2,-0.1,-0.2,False,0.47203452181456806
1,3,-0.1,-0.30000000000000004,False,0.5379914416867789
1,4,-0.1,-0.4,False,0.03859378732755514
1,5,-0.1,-0.5,False,0.0
1,6,-0.1,-0.6000000000000001,False,0.26372779363751087
1,7,-0.1,-0.7000000000000001,False,0.0
1,8,-0.1,-0.8,False,0.2838575662303823
1,9,-0.1,-0.9,False,0.49224413521915733
1,10,-0.1,-1.0,False,0.031280194935628725
1,11,-0.1,-1.1,False,0.0
1,12,-0.1,-1.2000000000000002,False,0.27476401114217985
1,13,-0.1,-1.3,False,0.0
1,14,-0.1,-1.4000000000000001,False,0.4621614062056355
1,15,-0.1,-1.5,False,0.4680770305849843
2,1,-0.1,-0.1,False,0.26526497424312434
2,2,-0.1,-0.2,False,0.2893484039742287
2,3,-0.1,-0.30000000000000004,False,0.5329960912682619
2,4,5.0,4.7,False,0.5222374552956124
2,5,-0.1,4.6,False,0.0
2,6,-0.1,4.5,False,0.2752718855167352
2,7,-0.1,4.4,False,0.0
2,8,-0.1,4.3,False,0.0
2,9,-0.1,4.2,False,0.24731492819733614
2,10,5.0,9.2,False,0.5132230166664659
2,11,-0.1,9.1,False,0.0
2,12,-0.1,9.0,False,0.2941588145855196
2,13,-0.1,8.9,False,0.47266862821215394
2,14,-0.1,8.8,False,0.2833482805244738
2,15,-0.1,8.7,False,0.4971993479386032
2,16,-0.1,8.6,False,0.0
