episode,step,reward,cum_reward,intercepted,unc
0,1,-0.1,-0.1,False,0.27508667713483725
1,1,-0.1,-0.1,False,0.251083118392064
1,2,-0.1,-0.2,False,0.2727629273266683
2,1,-0.1,-0.1,False,0.2712289764309299
3,1,-0.1,-0.1,False,0.2843843539212776
4,1,-0.1,-0.1,False,0.2557342912705798
4,2,-0.1,-0.2,False,0.2596291671029507
5,1,-0.1,-0.1,False,0.26894068755559797
5,2,-0.1,-0.2,False,0.29514187759684196
6,1,-0.1,-0.1,False,0.2783943390427841
6,2,-0.1,-0.2,False,0.2682664948588567
7,1,-0.1,-0.1,False,0.26479320905136006
7,2,-0.1,-0.2,False,0.2679325254092897
8,1,-0.1,-0.1,False,0.26508442126947396
8,2,-0.1,-0.2,False,0.2658245910936863
9,1,-0.1,-0.1,False,0.27589754071950323
9,2,-0.1,-0.2,False,0.2564902945419629
10,1,-0.1,-0.1,False,0.27734960374291706
11,1,-0.1,-0.1,False,0.2822601824205002
12,1,-0.1,-0.1,False,0.26480712944146556
12,2,-0.1,-0.2,False,0.28130780663494037
13,1,-0.1,-0.1,False,0.27297334057892164
13,2,-0.1,-0.2,False,0.2601688697371962
14,1,-0.1,-0.1,False,0.26793658644931284
15,1,-0.1,-0.1,False,0.2612751945900855
15,2,-0.1,-0.2,False,0.2618984104584101
16,1,-0.1,-0.1,False,0.25912807669462534
16,2,-0.1,-0.2,False,0.2553122527546483
17,1,-0.1,-0.1,False,0.27150138007571634
18,1,-0.1,-0.1,False,0.2798021176085068
19,1,-0.1,-0.1,False,0.27671360837622205
19,2,-0.1,-0.2,False,0.28438545686799244
20,1,-0.1,-0.1,False,0.28361442548420457
20,2,-0.1,-0.2,False,0.2712611592346277
21,1,-0.1,-0.1,False,0.2823021313087273
21,2,-0.1,-0.2,False,0.47515452933828317
22,1,-0.1,-0.1,False,0.26882184603108095
23,1,-0.1,-0.1,False,0.28533159374101225
23,2,-0.1,-0.2,False,0.28070563308316787
24,1,-0.1,-0.1,False,0.288818238004519
24,2,-0.1,-0.2,False,0.25522351104426
25,1,-0.1,-0.1,False,0.28338559652157946
26,1,-0.1,-0.1,False,0.28160960364496046
27,1,-0.1,-0.1,False,0.2728413895716111
28,1,-0.1,-0.1,False,0.2527253403202435
29,1,-0.1,-0.1,False,0.2747453793766359
30,1,-0.1,-0.1,False,0.2727143269082096
31,1,-0.1,-0.1,False,0.2541382599544797
31,2,-0.1,-0.2,False,0.24878816929247627
32,1,-0.1,-0.1,False,0.2619370525684228
32,2,-0.1,-0.2,False,0.26972336802855656
33,1,-0.1,-0.1,False,0.27553803463919524
34,1,-0.1,-0.1,False,0.2910509216224795
35,1,-0.1,-0.1,False,0.275017281326456
36,1,-0.1,-0.1,False,0.2573666140518036
37,1,-0.1,-0.1,False,0.26002853367296586
38,1,-0.1,-0.1,False,0.27751961738327946
39,1,5.0,5.0,False,0.26010752886050215
39,2,-0.1,4.9,False,0.0
40,1,-0.1,-0.1,False,0.2853486432875627
40,2,-0.1,-0.2,False,0.0
41,1,-0.1,-0.1,False,0.27301460407532496
42,1,-0.1,-0.1,False,0.2807936661470303
42,2,-0.1,-0.2,False,0.27677857197099054
43,1,-0.1,-0.1,False,0.2660674219893202
43,2,-0.1,-0.2,False,0.49147876316864036
44,1,-0.1,-0.1,False,0.27733437062412714
44,2,-0.1,-0.2,False,0.2853118610123231
45,1,-0.1,-0.1,False,0.25541709414081826
45,2,-0.1,-0.2,False,0.2646435052112375
46,1,-0.1,-0.1,False,0.2722658763144241
46,2,-0.1,-0.2,False,0.2814048541050712
47,1,-0.1,-0.1,False,0.28445306691393
47,2,-0.1,-0.2,False,0.29155990600068704
48,1,-0.1,-0.1,False,0.27672984327158723
48,2,-0.1,-0.2,False,0.27613311203789603
49,1,-0.1,-0.1,False,0.24875627029083014
50,1,-0.1,-0.1,False,0.28221159241641025
50,2,-0.1,-0.2,False,0.2757008699356195
51,1,-0.1,-0.1,False,0.24927700719880175
52,1,-0.1,-0.1,False,0.27160944386128594
53,1,-0.1,-0.1,False,0.28443266912439447
54,1,-0.1,-0.1,False,0.25791454102883304
55,1,-0.1,-0.1,False,0.26203247189412426
55,2,-0.1,-0.2,False,0.2576970374011107
56,1,-0.1,-0.1,False,0.2672052871254681
56,2,-0.1,-0.2,False,0.2735519518777436
57,1,-0.1,-0.1,False,0.2874562424189433
57,2,-0.1,-0.2,False,0.24973689520114717
58,1,-0.1,-0.1,False,0.2607494297078776
58,2,-0.1,-0.2,False,0.25705100623141486
59,1,-0.1,-0.1,False,0.2669232519618183
59,2,-0.1,-0.2,False,0.2697123306672201
60,1,-0.1,-0.1,False,0.2824063648233448
60,2,-0.1,-0.2,False,0.2819010288038857
61,1,-0.1,-0.1,False,0.26191974593500567
61,2,-0.1,-0.2,False,0.2772788721791015
62,1,-0.1,-0.1,False,0.280785599235706
62,2,-0.1,-0.2,False,0.2506733513095549
63,1,-0.1,-0.1,False,0.2893701425234456
63,2,-0.1,-0.2,False,0.270484496706513
64,1,-0.1,-0.1,False,0.2485347091891148
64,2,-0.1,-0.2,False,0.26255049510091044
65,1,-0.1,-0.1,False,0.2559982165827084
65,2,-0.1,-0.2,False,0.25649851554370107
66,1,-0.1,-0.1,False,0.2759001837987871
66,2,-0.1,-0.2,False,0.27265988149299125
67,1,-0.1,-0.1,False,0.2711156481689898
67,2,-0.1,-0.2,False,0.2701573382575475
68,1,-0.1,-0.1,False,0.2861865082397195
68,2,-0.1,-0.2,False,0.4878432172026982
69,1,-0.1,-0.1,False,0.2588813018994661
69,2,-0.1,-0.2,False,0.2615324935820875
70,1,-0.1,-0.1,False,0.27850123727230836
70,2,-0.1,-0.2,False,0.2970170343870563
71,1,-0.1,-0.1,False,0.2779991847652915
71,2,-0.1,-0.2,False,0.2724873997555335
72,1,-0.1,-0.1,False,0.27132597131808533
72,2,-0.1,-0.2,False,0.2752839256013928
73,1,-0.1,-0.1,False,0.28161327962299076
73,2,-0.1,-0.2,False,0.24600986582869577
74,1,-0.1,-0.1,False,0.2665190834266824
74,2,-0.1,-0.2,False,0.0
75,1,-0.1,-0.1,False,0.26179975124492594
75,2,-0.1,-0.2,True,0.0
76,1,-0.1,-0.1,False,0.2516927160367951
76,2,-0.1,-0.2,False,0.2821606855115055
77,1,-0.1,-0.1,False,0.27184531802895573
77,2,-0.1,-0.2,False,0.31581128908186673
78,1,-0.1,-0.1,False,0.26026351287861116
78,2,-0.1,-0.2,False,0.26611015427097273
79,1,-0.1,-0.1,False,0.27210600418231956
79,2,-0.1,-0.2,False,0.0
80,1,-0.1,-0.1,False,0.2755724513586666
80,2,-0.1,-0.2,False,0.29076936488488747
81,1,-0.1,-0.1,False,0.2584397538555754
81,2,-0.1,-0.2,False,0.5068313382872539
82,1,-0.1,-0.1,False,0.2762205315233415
83,1,-0.1,-0.1,False,0.2556173922189888
84,1,-0.1,-0.1,False,0.277897290398712
85,1,-0.1,-0.1,False,0.2821339562655065
86,1,-0.1,-0.1,False,0.2836930424577697
87,1,-0.1,-0.1,False,0.28296547259289206
88,1,-0.1,-0.1,False,0.27289050217777233
89,1,-0.1,-0.1,False,0.25972214040279074
90,1,-0.1,-0.1,False,0.2571002414193132
